,workerid,rt,statements,weight,pronoun,question,profession,expectedPronoun,correctResponse,response,slide_number_in_experiment,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid.1,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
236,7,5638,"[u'The swimmer attended a press conference before the latest competition.', u' said that there was every reason to expect a gold medal.']",5.83,She,Was the swimmer at a press conference?,swimmer,neutral,Yes,"[5271, 592, 1304, 1368, u'Yes']",8,english,0,Female,39,no,,Yes,0.6,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3X87C8JFV6A5FPNKGKL7IMTYGN6SQ0,7,Approved,Fri May 12 09:37:55 PDT 2017,Fri May 12 09:06:22 PDT 2017,Fri May 12 09:32:55 PDT 2017,Fri May 12 09:38:16 PDT 2017,NA,NA,NA,NA,undefined,4.26,[]
260,7,4505,"[u'The taxi driver took the twenty dollar bill.', u' immediately thought it might be counterfeit.']",2.5,She,Was the taxi driver handed a five dollar bill?,taxi driver,He,No,"[3431, 217, 1255, 832, u'No']",32,english,0,Female,39,no,,Yes,0.6,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3X87C8JFV6A5FPNKGKL7IMTYGN6SQ0,7,Approved,Fri May 12 09:37:55 PDT 2017,Fri May 12 09:06:22 PDT 2017,Fri May 12 09:32:55 PDT 2017,Fri May 12 09:38:16 PDT 2017,NA,NA,NA,NA,undefined,4.26,[]
244,7,5923,"[u'The undertaker went outside to smoke.', u' finished smoking two cigarettes before returning inside.']",1.97,He,Did the undertaker smoke three cigarettes?,undertaker,He,No,"[4503, 495, 1248, 1335, u'No']",16,english,0,Female,39,no,,Yes,0.6,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3X87C8JFV6A5FPNKGKL7IMTYGN6SQ0,7,Approved,Fri May 12 09:37:55 PDT 2017,Fri May 12 09:06:22 PDT 2017,Fri May 12 09:32:55 PDT 2017,Fri May 12 09:38:16 PDT 2017,NA,NA,NA,NA,undefined,4.26,[]
283,8,9981,"[u'The art historian gets many invitations to speak at college campuses.', u' only accepts a few in the New England area.']",5.33,He,Does the art historian ever speak outside of the New England area?,art historian,neutral,No,"[5456, 576, 2811, 2783, u'No']",22,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
276,8,9190,"[u'The astrologer got a sweepstakes entry in the mail.', u' decided to fill it out and mail it in.']",5.8,He,Did the astrologer receive a package in the mail?,astrologer,neutral,No,"[4134, 518, 3020, 1302, u'Yes']",15,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
269,8,10111,"[u'The baby sitter found out about the practical joke.', u' remained calm for several minutes, but then started to yell at everyone.']",9.33,She,Did the baby sitter react poorly to the practical joke?,baby sitter,She,Yes,"[5368, 652, 3413, 2463, u'Yes']",8,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
277,8,7952,"[u'The bank clerk had worked in that town for over thirty years.', u' knew just about everyone who lived there.']",6.57,He,Did the bank clerk know just about everyone in the town?,bank clerk,neutral,Yes,"[5362, 557, 3095, 1553, u'Yes']",16,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
287,8,8132,"[u'The butcher seemed a little distracted.', u' said that there were several family members who were in the hospital.']",1.77,She,Was the butcher happy?,butcher,He,No,"[7846, 513, 1612, 3338, u'No']",26,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
273,8,8414,"[u'The carpenter walked to the grocery store.', u' didn&quotechart make eye contact with anyone passing by.']",2.47,She,Did the carpenter make eye contact with passersby?,carpenter,He,No,"[5924, 598, 2126, 2404, u'No']",12,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
286,8,9582,"[u'The cheerleader arrived early for the game.', u' was amazed to see how many people were there.']",10.77,He,Did the cheerleader arrive late for the game?,cheerleader,She,No,"[9226, 525, 1297, 1566, u'Yes']",25,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
271,8,9764,"[u'The cleaner read the instriuctions on the bottle very carefully.', u' then began to mix the cleaning solution.']",9.17,She,Was the cleaner mixing a cleaning solution?,cleaner,She,Yes,"[6781, 649, 3117, 1938, u'Yes']",10,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
293,8,8189,"[u'The dental assistant made several recommendations.', u' stressed the importance of avoiding sugary snacks.']",9.63,She,Did the dental assistant encourage avoiding sugary snacks?,dental assistant,She,Yes,"[5364, 531, 2360, 1953, u'Yes']",32,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
282,8,7710,"[u'The electrician examined the light fixing.', u' needed a special attachment to fix it.']",2.2,She,Was the electrician mending a stereo?,electrician,He,No,"[4070, 491, 1830, 2447, u'No']",21,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
284,8,7497,"[u'The farmer was worried about the next harvest.', u' was concerned there wouldn&quotechart be enough rain.']",2.27,He,Was the farmer concerned there wouldn&quotechart be enough rain?,farmer,He,Yes,"[6603, 581, 1616, 2579, u'Yes']",23,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
268,8,9035,"[u'The football player spent hours in the whirlpool each day.', u' had injured an ankle, and the whirlpool eased the pain.']",1.57,He,Had the football player injured an ankle?,football player,He,Yes,"[11769, 746, 2347, 2238, u'Yes']",7,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
297,8,8514,"[u'The fortune teller traveled with the carnival.', u' had been born into the carnival life and never wanted to leave it.']",9.47,He,Had the fortune teller joined the circus as a teenager?,fortune teller,She,No,"[5276, 412, 2805, 2570, u'No']",36,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
270,8,9811,"[u'The housekeeper always showed up late for work.', u' was threatened with termination if this behavior continued.']",9.97,He,Did the housekeeper always show up for work on time?,housekeeper,She,No,"[6159, 802, 2096, 2345, u'No']",9,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
281,8,7166,"[u'The interior designer inspected the ballroom before the gala.', u' found everything in perfect order.']",6.7,She,Was the interior designer inspecting the garden?,interior designer,neutral,No,"[5594, 454, 2626, 1078, u'No']",20,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
296,8,7300,"[u'The interpreter checked the documents carefully for typos.', u' signed them and put them in the outgoing mail.']",6.53,She,Did the interpreter put the documents in the trash?,interpreter,neutral,No,"[4594, 493, 1555, 1923, u'No']",35,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
274,8,10069,"[u'The midwife read the newspaper everyday.', u' tried to keep informed about national and world news.']",10.27,He,Did the midwife read the newspaper only once a week?,midwife,She,No,"[5704, 481, 2172, 2947, u'No']",13,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
285,8,11080,"[u'The nurse examined the medication carefully.', u' then wrote something on the chart and left.']",9.07,She,Was the nurse examining medication?,nurse,She,Yes,"[5226, 462, 1375, 1756, u'Yes']",24,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
289,8,8670,"[u'The paratrooper was very moody and hard to get along with.', u' seemed to be liked by no one in the squad.']",1.24,He,Did anyone in the squad like the paratrooper?,paratrooper,He,No,"[5658, 619, 2021, 2299, u'No']",28,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
278,8,10464,"[u'The pediatrician gave out free gift bags to every appointment.', u' included in each gift bag the child&quotechars favorite candy.']",5.43,She,Did the pediatrician give out free gift bags to only some appointments?,pediatrician,neutral,No,"[4253, 499, 2406, 3124, u'No']",17,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
290,8,6747,"[u'The pilot announced the time and the weather.', u' indicated that the plane would be landing a little ahead of schedule.']",2.07,She,Was the plane going to arrive late?,pilot,He,No,"[6055, 459, 1478, 2511, u'No']",29,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
294,8,7939,"[u'The plumber stopped by the diner on the way home from work.', u' ordered the special: catfish sandwich and fries.']",1.83,She,Was the special a catfish sandwhich?,plumber,He,Yes,"[5361, 576, 2283, 2797, u'Yes']",33,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
295,8,6348,"[u'The psychologist liked to visit the zoo.', u' found watching the animals to be a perfect way to relax after work.']",5.73,She,Did the psychologist like to visit the zoo after work?,psychologist,neutral,Yes,"[4895, 479, 1423, 1953, u'Yes']",34,English,1,Female,42,No.,,Yes,No.,3,Windows,1024,1280,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3D3VGR7TA0E179H53K96F4VRKTAR39,8,Approved,Fri May 12 09:45:02 PDT 2017,Fri May 12 09:19:06 PDT 2017,Fri May 12 09:40:02 PDT 2017,Fri May 12 09:45:16 PDT 2017,NA,NA,NA,NA,undefined,5.88661666666667,[]
